year,month,upwelling,noi,npgo,pdo,oni 
2003,12,-205,-1.635,0.22,-0.6,0.3
2004,1,-156,-0.554,0.27,-0.55,0.3
2004,2,-98,-0.219,0.67,-0.21,0.3
2004,3,-5,5.006,0.38,-0.15,0.2
2004,4,1,0.078,0.13,0,0.1
2004,5,16,1.529,0.21,0.61,0.2
2004,6,43,0.547,0.78,-0.11,0.3
2004,7,53,-1.063,0.41,0.04,0.5
2004,8,21,-0.765,0.69,0.24,0.6
2004,9,17,0.674,0.38,0.02,0.7
2004,10,2,-2.109,0.04,-0.72,0.7
2004,11,0,4.444,-0.44,-1.22,0.6
2004,12,-16,0.037,-0.99,-0.64,0.7
2005,1,-75,-2.242,-1.66,-0.15,0.7
2005,2,4,-5.398,-1.49,-0.01,0.6
2005,3,-9,-0.003,-1.49,0.7,0.5
2005,4,-10,0.287,-1.69,0.28,0.5
2005,5,-2,-2.468,-0.79,1.36,0.3
2005,6,23,1.027,-1.28,0.85,0.2
2005,7,73,-0.195,-1.66,0.11,0
2005,8,93,-0.756,-1.13,-0.42,-0.1
2005,9,54,3.341,-1.57,-0.99,0
2005,10,-24,2.172,-0.89,-2,-0.2
2005,11,-12,3.332,-1.66,-1.89,-0.5
2005,12,-85,-1.886,-1.25,-0.1,-0.7
2006,1,-157,4.121,-0.65,0.54,-0.7
2006,2,0,2.257,-1.07,0.38,-0.6
2006,3,-68,-0.108,-0.71,-0.74,-0.4
2006,4,1,-0.886,-0.57,-0.54,-0.2
2006,5,29,-0.66,-0.12,-0.37,0
2006,6,62,-0.154,-0.13,0.21,0
2006,7,101,-0.913,-0.5,0.39,0.1
2006,8,114,-0.472,-0.37,-0.85,0.3
2006,9,37,0.579,-0.34,-1.54,0.5
2006,10,39,-1.142,-1.05,-0.46,0.7
2006,11,-118,0.905,-1,-0.81,0.9
2006,12,-69,2.745,-0.16,-0.42,0.9
2007,1,-1,8.058,-0.41,-0.69,0.7
2007,2,-48,2.207,-0.14,-0.71,0.4
2007,3,-8,5.106,-0.55,-1.1,0.1
2007,4,0,1.956,0.26,-0.46,-0.1
2007,5,53,2.032,0.69,-0.29,-0.2
2007,6,13,3.25,1.23,-0.07,-0.3
2007,7,14,-1.612,1.23,0.43,-0.4
2007,8,32,-1.554,1.44,0.09,-0.6
2007,9,25,1.379,0.91,-0.97,-0.9
2007,10,-9,2.134,1.27,-2.33,-1.1
2007,11,-1,3.971,0.73,-1.46,-1.3
2007,12,-61,7.032,0.46,-0.87,-1.3
2008,1,-25,1.343,0.56,-1.5,-1.4
2008,2,-11,5.692,1.14,-1.46,-1.3
2008,3,-9,8.118,1.37,-1.26,-1.1
2008,4,9,4.419,1.4,-1.79,-0.9
2008,5,34,0.569,1.74,-1.62,-0.7
2008,6,45,1.47,1.28,-1.85,-0.5
2008,7,49,-1.584,1.43,-1.96,-0.4
2008,8,20,-1.437,2.14,-1.85,-0.3
2008,9,31,-0.095,2.23,-1.87,-0.3
2008,10,0,2.203,1.77,-1.9,-0.4
2008,11,-38,2.515,1.97,-1.59,-0.6
2008,12,-19,4.223,0.45,-1.31,-0.7
2009,1,-3,6.754,0.72,-1.81,-0.7
2009,2,-19,-1.159,0.91,-1.78,-0.6
2009,3,-5,4.57,0.33,-2.06,-0.4
2009,4,25,3.125,0.42,-2.23,-0.1
2009,5,13,1.11,0.55,-1.32,0.2
2009,6,34,-2.38,0.37,-0.73,0.4
2009,7,81,0.195,0.56,-0.71,0.5
2009,8,26,-0.257,0.72,-0.49,0.5
2009,9,2,1.42,0.98,0.33,0.6
2009,10,-7,-0.416,1.15,-0.13,0.9
2009,11,-114,1.02,1.05,-0.94,1.1
2009,12,-64,-3.436,1.06,-0.51,1.3
2010,1,-257,-8.052,2.06,0.05,1.3
2010,2,-92,-6.329,1.84,0.25,1.2
2010,3,-29,-0.178,1.65,-0.16,0.9
2010,4,0,-1.751,1.18,-0.04,0.5
2010,5,9,3.498,1.87,-0.18,0
2010,6,27,2.772,1.24,-0.79,-0.4
2010,7,119,-0.044,1.15,-1.99,-0.9
2010,8,52,0.429,1.08,-2.21,-1.2
2010,9,0,1.166,1,-2.45,-1.4
2010,10,-12,1.905,1.61,-1.6,-1.5
2010,11,-34,4.024,0.99,-1.57,-1.4
2010,12,-172,-2.89,0.78,-2.04,-1.4
2011,1,-18,5.233,0.32,-1.8,-1.3
2011,2,-11,4.645,0.55,-1.46,-1
2011,3,-157,0.887,1.2,-1.28,-0.7
2011,4,-1,3.593,0.6,-1.02,-0.5
2011,5,8,0.947,1.39,-0.66,-0.4
2011,6,24,-0.365,1.11,-1.08,-0.3
2011,7,59,-0.393,1.04,-2.3,-0.3
2011,8,64,0.467,1.04,-2.37,-0.6
2011,9,2,0.291,1.33,-2.5,-0.8
2011,10,-1,1.415,1.2,-1.92,-0.9
2011,11,-39,1.716,0.37,-2.95,-1
2011,12,2,7.887,0.13,-2.4,-0.9
2012,1,-62,4.865,0.83,-1.85,-0.7
2012,2,-44,3.723,0.86,-1.35,-0.5
2012,3,-75,0.165,1.12,-1.66,-0.4
2012,4,-16,-1.349,1.93,-1.01,-0.4
2012,5,25,2.668,1.63,-2.12,-0.3
2012,6,7,0.168,1.94,-1.63,-0.1
2012,7,96,1.868,1.86,-2.4,0.1
2012,8,59,-1.316,1.73,-2.6,0.3
2012,9,67,2.833,1.36,-2.99,0.3
2012,10,-10,-0.19,1.87,-1.22,0.3
2012,11,-92,-2.34,1.4,-0.66,0.1
2012,12,-83,0.023,1.2,-1.31,-0.2
2013,1,-3,6.643,1.23,-1.1,-0.4
2013,2,-4,8.002,1.2,-1.42,-0.4
2013,3,-3,2.063,0.64,-1.48,-0.3
2013,4,16,2.727,0.48,-0.72,-0.2
2013,5,6,1.356,0.85,-0.4,-0.2
2013,6,14,1.163,0.73,-1.19,-0.2
2013,7,186,0.47,0.45,-1.34,-0.3
2013,8,17,-1.299,0.56,-1.56,-0.3
2013,9,-1,-0.257,0.39,-1,-0.2
2013,10,13,0.932,-0.15,-1.65,-0.3
2013,11,-10,0.144,-0.81,-1.09,-0.3
2013,12,4,4.973,-1.45,-1.04,-0.3
2014,1,-17,3.977,-0.39,-0.56,-0.5
2014,2,-62,-0.953,-0.27,-0.42,-0.5
2014,3,-33,-0.602,-0.45,0.3,-0.4
2014,4,-3,1.158,-0.62,0.36,-0.2
2014,5,9,1.391,0.23,1.26,-0.1
2014,6,60,0.565,-0.42,-0.29,0
2014,7,100,-0.953,-0.13,0.24,-0.1
2014,8,81,-1.605,-0.54,0.33,0
2014,9,5,-3.836,-0.78,0.75,0.1
2014,10,-36,-3.229,0.43,1.42,0.4
2014,11,-54,-1.818,0.31,1.35,0.5
2014,12,-85,-2.97,-0.35,1.85,0.6
2015,1,-32,2.083,-0.55,1.51,0.6
2015,2,-20,-1.67,-1.27,1.52,0.5
2015,3,-7,0.931,-1.39,1.34,0.6
2015,4,7,0.631,-1.38,0.9,0.7
2015,5,86,-2.497,-0.72,0.33,0.8
2015,6,121,-1.473,-1.25,0.82,1
2015,7,74,-4.051,-1.47,1.41,1.2
2015,8,45,-3.224,-1.93,0.98,1.4
2015,9,21,-2.707,-2.1,0.96,1.7
2015,10,-3,-4.079,-1.31,0.83,2
2015,11,-10,2.093,-2.25,0.16,2.2
2015,12,-161,1.549,-1.11,0.28,2.3
2016,1,-261,-6.935,0.94,0.74,2.2
2016,2,-112,0.825,0.23,1.3,2
2016,3,-85,-2.065,0.47,1.58,1.6
2016,4,2,-1.135,-0.4,1.73,1.1
2016,5,69,0.272,-0.68,1.59,0.6
2016,6,57,1.559,-0.96,0.85,0.1
2016,7,68,1.753,-0.49,0.56,-0.3
2016,8,90,0.404,-0.54,-0.61,-0.6
2016,9,28,3.795,-0.77,-0.8,-0.8
2016,10,-119,-1.928,0.35,-0.43,-0.8
2016,11,-156,-0.487,1.16,0.96,-0.8
2016,12,-8,2.524,-1.54,0.6,-0.7
2017,1,-83,-1.597,-0.27,-0.05,-0.4
2017,2,-44,-4.747,-0.67,-0.01,-0.1
2017,3,-63,2.897,-0.89,0.1,0.2
2017,4,-31,-0.849,-0.11,0.57,0.4
2017,5,29,0.58,-0.46,0.45,0.4
2017,6,30,-1.26,-0.29,0.35,0.2
2017,7,106,1.417,-0.44,-0.43,-0.1
2017,8,87,-0.59,-0.53,-0.62,-0.5
2017,9,23,-0.104,-0.53,-0.18,-0.38
2017,10,2,3.587,-1.41,-0.68,-0.65
2017,11,-128,-1.166,-2.06,-0.59,-0.84
2017,12,-21,3.408,-2.69,-0.03,-0.97
2018,1,-161,2.703,-1.49,0.4,-0.92
2018,2,16,6.37,-2.23,-0.08,-0.85
2018,3,-8,-0.816,-2.04,-0.71,-0.7
2018,4,-8,1.112,-2.06,-0.81,-0.5
2018,5,59,-0.186,-1.92,-0.45,-0.22
2018,6,34,0.753,-1.93,-0.65,-0.01
2018,7,91,1.283,-1.57,-0.01,0.09
2018,8,68,0.564,-2.12,-0.21,0.23
2018,9,12,0.625,-2.33,-0.35,0.49
2018,10,0,-0.584,-2.34,-0.57,0.76
2018,11,-21,0.013,-1.75,-0.7,0.9
2018,12,-113,2.574,-1.08,-0.21,0.81
2019,1,-92,-2.657,-0.86,-0.33,0.75
2019,2,-1,-4.261,-2.57,-0.72,0.72
2019,3,-12,-1.888,-1.99,-0.33,0.71
2019,4,6,1.068,-2.15,0.1,0.66
2019,5,51,-2.324,-2.12,0.27,0.54
2019,6,76,0.534,-1.99,-0.05,0.45
2019,7,32,0.429,-2.22,0.55,0.28
2019,8,29,-1.844,-1.99,0.01,0.14
2019,9,7,-0.722,-2.53,0.13,0.19
2019,10,0,0.875,-2.67,-0.89,0.35
2019,11,4,-1.129,-3.65,-0.49,0.51
2019,12,-64,-3.116,-2.93,0,0.55
2020,1,-187,4.917,-1.71,-1.41,0.5
2020,2,8,6.851,-2.04,-1.47,0.48
2020,3,6,-0.6,-1.77,-1.75,0.4
2020,4,16,1.467,-1.89,-1.31,0.19
2020,5,1,-1.671,-1.05,-0.51,-0.08
2020,6,29,0.942,-1.45,-0.76,-0.3
2020,7,73,0.577,-1.25,-0.9,-0.41
2020,8,43,-0.463,-1.422,-1.32,-0.57
2020,9,-1,-0.276,-1.161,-1.03,-0.89
2020,10,10,1.612,-1.476,-0.62,-1.17
2020,11,-43,1.998,-1.71,-1.58,-1.27
2020,12,-97,5.098,-1.87,-0.98,-1.19
